PRICE,PROPERTYSQFT,BEDS,BATH,BATH_PER_BED,BEDS_PER_SQFT,TYPE,LOCALITY
499000,1760.0,5,2,0.4,0.002840909090909,House for sale,The Bronx
1050000,3132.0,5,4,0.8,0.0015964240102171,Multi-family home for sale,The Bronx
5000000,6425.0,10,9,0.9,0.001556420233463,Townhouse for sale,Manhattan
90000,660.0,1,1,1.0,0.0015151515151515,Pending,Staten Island
56000000,24000.0,11,10,0.9090909090909092,0.0004583333333333,House for sale,Manhattan
650000,1638.0,3,2,0.7912869526561458,0.0018315018315018,Townhouse for sale,The Bronx
500000,1794.0,4,3,0.75,0.0022296544035674,Condo for sale,Manhattan
350000,490.0,2,1,0.5,0.0040816326530612,House for sale,Staten Island
1099000,2184.207862,4,2,0.5,0.0018313275350713,House for sale,Brooklyn
90000,450.0,1,1,1.0,0.0022222222222222,Co-op for sale,The Bronx
839000,2184.207862,4,2,0.5,0.0018313275350713,House for sale,Queens
659000,2184.207862,8,3,0.375,0.0036626550701427,House for sale,Queens
399999,2184.207862,3,1,0.3333333333333333,0.0013734956513035,House for sale,Queens
250000,2184.207862,3,1,0.3333333333333333,0.0013734956513035,Condo for sale,Brooklyn
650000,2244.0,4,2,0.5,0.0017825311942959,House for sale,Queens
1165000,3500.0,3,4,1.3333333333333333,0.0008571428571428,House for sale,Staten Island
729900,1150.0,3,2,0.6666666666666666,0.0026086956521739,House for sale,Staten Island
1880000,3150.0,3,4,1.3333333333333333,0.0009523809523809,House for sale,Brooklyn
449000,1549.0,2,2,1.0,0.0012911555842479,Co-op for sale,Queens
1175000,2250.0,3,2,0.6666666666666666,0.0013333333333333,House for sale,Queens
2750000,2184.207862,3,2,0.6666666666666666,0.0013734956513035,Townhouse for sale,Manhattan
995000,2184.207862,3,2,0.6666666666666666,0.0013734956513035,House for sale,Queens
2000000,2000.0,3,2,0.6666666666666666,0.0015,Condo for sale,Manhattan
15000000,2184.207862,8,6,0.75,0.0036626550701427,Townhouse for sale,Brooklyn
2800000,8333.0,4,6,1.5,0.000480019200768,House for sale,Staten Island
2600000,3024.0,5,4,0.8,0.0016534391534391,House for sale,Queens
3500000,6000.0,6,6,1.0,0.001,Townhouse for sale,Manhattan
550000,2184.207862,1,1,1.0,0.0004578318837678,Co-op for sale,Manhattan
769000,2184.207862,3,4,1.3333333333333333,0.0013734956513035,Pending,Staten Island
675000,2400.0,3,2,0.6666666666666666,0.00125,House for sale,Brooklyn
879000,1238.0,4,2,0.5,0.0032310177705977,House for sale,Staten Island
918888,2184.207862,3,2,0.6666666666666666,0.0013734956513035,House for sale,Queens
2400000,1892.0,4,2,0.5,0.0021141649048625,Townhouse for sale,Brooklyn
1730000,3024.0,6,2,0.3956434763280729,0.0019841269841269,House for sale,Queens
425000,2184.207862,5,2,0.4,0.0022891594188392,Multi-family home for sale,The Bronx
2500000,1450.0,5,2,0.4747721715936874,0.0034482758620689,House for sale,Queens
998000,2000.0,4,4,1.0,0.002,House for sale,Staten Island
1195000,2688.0,4,4,1.0,0.0014880952380952,House for sale,Staten Island
1649000,2052.0,3,2,0.6666666666666666,0.0014619883040935,House for sale,Brooklyn
955000,2100.0,4,4,1.0,0.0019047619047619,House for sale,Staten Island
949000,2184.207862,6,3,0.5,0.002746991302607,Multi-family home for sale,Queens
880000,1743.0,3,2,0.6666666666666666,0.0017211703958691,House for sale,Queens
39995000,10582.0,4,2,0.5934652144921093,0.0003780003780003,Townhouse for sale,Manhattan
1250000,2184.207862,8,2,0.2967326072460546,0.0036626550701427,Townhouse for sale,Manhattan
899999,1784.0,3,2,0.6666666666666666,0.0016816143497757,Contingent,Staten Island
198000,750.0,1,1,1.0,0.0013333333333333,Condo for sale,Queens
549000,496.0,5,3,0.6,0.0100806451612903,House for sale,The Bronx
1088888,1320.0,3,4,1.3333333333333333,0.0022727272727272,House for sale,Brooklyn
888000,2686.0,4,2,0.5,0.0014892032762472,House for sale,The Bronx
